start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms,,
2026-06-02T15:29:20.536,2026-06-02T15:34:38.600,318.064516,ITI,964,443,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:39.588,319.051759,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:39.588,319.051803,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:41.589,321.053562,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:34:42.917,322.381091,SHOW,971,401,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:42.917,15:34:43
2026-06-02T15:29:20.536,2026-06-02T15:34:42.929,322.393609,ITI,1010,502,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:43.918,323.382588,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:43.918,323.382639,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:45.922,325.386134,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2003,,
2026-06-02T15:29:20.536,2026-06-02T15:34:47.633,327.097335,SHOW,973,444,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:47.633,15:34:48
2026-06-02T15:29:20.536,2026-06-02T15:34:48.635,328.098788,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:48.635,328.098839,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:50.638,330.101899,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2003,,
2026-06-02T15:29:20.536,2026-06-02T15:34:52.205,331.669157,SHOW,1041,473,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:52.205,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:34:53.208,332.672102,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:53.208,332.672154,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:55.210,334.674095,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:34:56.534,335.998263,SHOW,943,478,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:56.534,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:34:57.538,337.002244,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:57.538,337.002301,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:59.540,339.004707,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:35:00.952,340.416161,SHOW,937,451,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:00.952,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:35:01.956,341.420257,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:01.956,341.420303,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:03.958,343.422748,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:35:07.102,346.566175,SHOW,912,457,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:07.102,0:00:06
2026-06-02T15:29:20.536,2026-06-02T15:35:08.102,347.566707,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:08.103,347.566758,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:10.104,349.568729,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:35:12.160,351.624204,SHOW,1007,473,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:12.160,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:35:13.164,352.62784,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:13.164,352.627892,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:35:15.166,354.630082,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:35:16.544,356.008425,SHOW,1037,436,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:35:16.544,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:35:17.545,357.008939,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
